ip,classification,Harmless,Malicious,Suspicious,ASN
61.166.19.153,malicious,62,4,0,4134
61.167.36.11,malicious,62,3,1,4837
61.168.118.140,malicious,62,4,2,4837
61.171.56.87,malicious,63,4,1,4812
61.177.152.42,malicious,59,6,1,4134
61.177.77.66,malicious,59,8,0,4134
61.178.14.64,malicious,64,1,0,4134
61.178.219.181,malicious,63,3,2,4134
61.180.230.53,malicious,64,1,1,4837
61.182.226.245,malicious,60,4,2,4837
61.183.19.186,malicious,60,6,0,4134
61.184.220.16,malicious,62,4,2,4134
61.185.208.188,malicious,61,4,2,4134
61.186.159.26,malicious,61,6,1,4134
61.186.61.119,malicious,65,1,0,4134
61.190.18.46,malicious,63,3,2,4134
61.19.64.8,malicious,62,3,1,9931
61.216.162.9,malicious,60,7,1,3462
61.216.44.125,malicious,61,4,1,3462
61.219.19.139,malicious,60,5,0,3462
61.221.207.130,malicious,61,4,2,3462
61.221.219.150,malicious,56,11,1,3462
61.227.241.102,malicious,64,1,1,3462
61.227.68.15,malicious,59,8,0,3462
61.238.234.252,malicious,64,3,0,9269
61.239.126.176,malicious,64,3,1,9269
61.239.237.247,malicious,66,0,1,9269
61.244.176.210,malicious,64,3,1,9269
61.247.7.30,malicious,0,0,0,23700
61.255.180.71,malicious,62,4,1,9318
61.39.157.140,malicious,59,5,2,3786
61.41.222.113,malicious,58,6,2,17598
61.41.230.161,malicious,53,15,0,17598
61.48.29.186,malicious,63,3,2,4808
61.49.178.83,malicious,60,4,2,4808
61.49.60.130,malicious,63,3,2,4808
61.5.35.213,malicious,0,0,0,7713
61.52.0.131,malicious,66,0,0,4837
61.52.1.151,malicious,64,1,1,4837
61.52.2.103,malicious,64,1,1,4837
61.52.2.26,malicious,63,2,1,4837
61.52.4.58,malicious,64,1,1,4837
61.52.7.127,malicious,0,0,0,4837
61.54.190.80,malicious,63,3,0,4837
61.63.206.14,malicious,60,6,3,9676
61.71.6.177,malicious,66,0,1,9416
61.72.247.8,malicious,63,3,2,4766
61.77.39.173,malicious,61,6,1,4766
61.79.225.135,malicious,59,7,0,4766
61.80.248.114,malicious,54,15,1,4766
61.81.152.115,malicious,64,1,1,4766
61.85.208.191,malicious,65,2,0,4766
61.91.156.82,malicious,61,6,0,7470
61.92.218.33,malicious,63,4,0,9269
61.93.31.86,malicious,60,5,0,9269
61.93.61.32,malicious,61,5,0,9269
62.1.34.199,malicious,62,4,1,1241
62.11.171.143,malicious,64,2,0,8612
62.112.121.150,malicious,64,1,1,25513
62.118.138.2,malicious,61,5,2,8359
62.122.184.103,malicious,64,3,0,57523
62.122.184.23,malicious,61,6,1,57523
62.122.184.59,malicious,63,4,2,57523
62.133.171.186,malicious,59,10,0,28812
62.146.229.167,malicious,62,2,2,40021
62.150.173.180,malicious,65,1,0,9155
62.165.36.110,malicious,60,6,1,28745
62.182.71.197,malicious,64,2,0,196638
62.20.249.236,malicious,61,7,0,3301
62.201.232.205,malicious,62,5,0,44217
62.210.10.186,malicious,60,5,2,12876
62.210.11.22,malicious,60,6,2,12876
62.210.24.128,malicious,60,7,3,12876
62.210.70.119,malicious,58,8,3,12876
62.212.230.38,malicious,60,6,2,29049
62.228.92.202,malicious,64,3,0,6866
62.232.138.94,malicious,61,5,0,5413
62.234.190.195,malicious,63,2,0,45090
62.234.25.163,malicious,66,1,0,45090
62.234.46.122,malicious,65,1,0,45090
62.3.58.187,malicious,64,3,1,212913
62.3.58.254,malicious,63,4,1,212913
62.48.165.18,malicious,62,3,1,15525
62.68.146.172,malicious,62,4,0,25227
62.72.18.139,malicious,62,4,0,47583
62.72.46.92,malicious,64,2,0,141995
63.135.162.217,malicious,64,3,0,396073
63.142.215.2,malicious,64,1,1,13370
63.143.99.121,malicious,62,5,0,33576
63.215.102.178,malicious,64,1,0,27425
63.252.132.12,malicious,62,5,1,7029
64.112.124.3,malicious,65,2,0,918
64.176.40.87,malicious,0,0,0,20473
64.20.30.187,malicious,61,6,0,16863
64.20.37.214,malicious,63,3,1,19318
64.21.235.162,malicious,57,10,1,12042
64.225.0.124,malicious,63,1,0,14061
64.225.17.116,malicious,0,0,0,14061
64.225.17.197,malicious,0,0,0,14061
64.225.1.78,malicious,0,0,0,14061
64.225.18.165,malicious,64,2,0,14061
64.225.24.151,malicious,0,0,0,14061
64.225.25.95,malicious,63,3,0,14061
64.225.32.128,malicious,48,0,0,14061
64.225.32.177,malicious,0,0,0,14061
64.225.40.114,malicious,65,3,1,14061
64.225.48.36,malicious,62,2,0,14061
64.225.4.95,malicious,63,5,1,14061
64.225.57.4,malicious,63,3,0,14061
64.225.57.93,malicious,0,0,0,14061
64.225.74.178,malicious,60,8,2,14061
64.226.109.107,malicious,59,8,1,14061
64.226.112.50,malicious,62,5,1,14061
64.226.120.87,malicious,0,0,0,14061
64.226.65.119,malicious,0,0,0,14061
64.226.86.7,malicious,61,7,1,14061
64.226.92.112,malicious,62,4,0,14061
64.227.110.10,malicious,60,3,0,14061
64.227.114.151,malicious,63,4,0,14061
64.227.11.88,malicious,62,6,0,14061
64.227.12.45,malicious,63,4,0,14061
64.227.126.135,malicious,56,13,0,14061
64.227.128.191,malicious,63,2,0,14061
64.227.129.158,malicious,63,3,0,14061
64.227.129.180,malicious,0,0,0,14061
64.227.131.32,malicious,62,3,0,14061
64.227.131.33,malicious,56,9,0,14061
64.227.13.156,malicious,62,6,1,14061
64.227.134.21,malicious,56,11,0,14061
64.227.134.215,malicious,65,3,0,14061
64.227.134.33,malicious,61,6,1,14061
64.227.137.10,malicious,63,5,0,14061
64.227.145.201,malicious,0,0,0,14061
64.227.146.163,malicious,56,13,0,14061
64.227.146.243,malicious,56,13,0,14061
64.227.154.91,malicious,0,0,0,14061
64.227.156.37,malicious,64,2,0,14061
64.227.157.148,malicious,63,3,0,14061
64.227.158.46,malicious,66,1,0,14061
64.227.158.76,malicious,61,3,0,14061
64.227.16.21,malicious,57,12,1,14061
64.227.176.36,malicious,0,0,0,14061
64.227.176.94,malicious,62,1,0,14061
64.227.186.209,malicious,62,5,1,14061
64.227.24.191,malicious,65,0,1,14061
64.227.38.240,malicious,62,4,2,14061
64.227.41.114,malicious,61,3,2,14061
64.227.48.169,malicious,64,1,1,14061
64.227.48.186,malicious,61,4,1,14061
64.227.48.46,malicious,65,0,1,14061
64.227.67.100,malicious,61,6,1,14061
64.227.74.166,malicious,63,6,1,14061
64.227.77.204,malicious,62,6,1,14061
64.227.79.219,malicious,62,4,0,14061
64.227.80.165,malicious,62,5,0,14061
64.227.80.51,malicious,62,4,0,14061
64.227.96.100,malicious,64,1,1,14061
64.227.97.195,malicious,57,9,2,14061
64.227.99.233,malicious,62,3,2,14061
64.234.94.171,malicious,64,2,0,40285
64.235.37.62,malicious,60,8,1,26277
64.31.63.41,malicious,63,4,1,136258
64.34.49.230,malicious,60,6,0,13768
64.44.177.217,malicious,63,4,1,20278
64.46.4.67,malicious,62,5,1,40029
64.62.157.70,malicious,62,3,2,6939
64.66.36.186,malicious,63,4,1,397848
64.71.139.237,malicious,62,4,1,6939
64.79.127.204,malicious,62,3,1,33544
65.0.132.79,malicious,0,0,0,16509
65.0.155.159,malicious,65,2,0,16509
65.1.199.49,malicious,65,1,1,16509
65.109.128.148,malicious,65,0,0,24940
65.109.180.86,malicious,0,0,0,24940
65.109.203.124,malicious,0,0,0,24940
65.109.209.40,malicious,64,1,0,24940
65.126.41.34,malicious,63,5,1,209
65.199.249.130,malicious,61,6,1,701
65.20.130.179,malicious,64,3,0,203214
65.215.162.63,malicious,66,0,1,13690
65.24.135.233,malicious,64,4,1,10796
65.242.201.202,malicious,61,6,1,701
65.254.18.82,malicious,63,3,1,46887
65.40.1.66,malicious,62,6,1,2379
65.49.1.10,malicious,53,14,2,6939
65.49.1.100,malicious,57,12,0,6939
65.49.1.101,malicious,56,13,1,6939
